"","SITE","DATE","PEN_ID","PEN_PLOT","REP","PLOT_ID","ZONE","Depth","PR","TILLAGE_DEPTH","TRAFFIC_CONTROL","TYRE_PRESSURE","TILLAGE_NUM","BLOCK","TRAFFIC.by.zone","TC","Layer"
"70","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",30,2.8,"D","STP","H",3,1,4,"HT","6"
"71","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",31,2.9,"D","STP","H",3,1,4,"HT","7"
"72","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",32,2.9,"D","STP","H",3,1,4,"HT","7"
"73","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",33,3.1,"D","STP","H",3,1,4,"HT","7"
"74","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",34,3,"D","STP","H",3,1,4,"HT","7"
"75","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",35,3,"D","STP","H",3,1,4,"HT","7"
"76","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",36,3.1,"D","STP","H",3,1,4,"HT","8"
"77","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",37,3.1,"D","STP","H",3,1,4,"HT","8"
"78","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",38,3.1,"D","STP","H",3,1,4,"HT","8"
"79","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",39,2.9,"D","STP","H",3,1,4,"HT","8"
"80","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",40,4.2,"D","STP","H",3,1,4,"HT","8"
"81","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",1,0.5,"D","STP","H",3,1,4,"HT","1"
"82","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",2,0.5,"D","STP","H",3,1,4,"HT","1"
"83","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",3,0.5,"D","STP","H",3,1,4,"HT","1"
"84","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",4,0.9,"D","STP","H",3,1,4,"HT","1"
"85","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",5,1,"D","STP","H",3,1,4,"HT","1"
"86","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",6,1,"D","STP","H",3,1,4,"HT","2"
"87","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",7,1,"D","STP","H",3,1,4,"HT","2"
"88","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",8,1.4,"D","STP","H",3,1,4,"HT","2"
"89","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",9,1.4,"D","STP","H",3,1,4,"HT","2"
"90","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",10,1.4,"D","STP","H",3,1,4,"HT","2"
"91","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",11,1.3,"D","STP","H",3,1,4,"HT","3"
"92","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",12,1.3,"D","STP","H",3,1,4,"HT","3"
